Input,1,2,3,4,5,6,7,8,9,10
itineraries.0,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
itineraries.1,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
itineraries.2,0.708,0.505,0.530,0.501,0.483,0.542,0.643,0.496,0.486,0.480
itineraries.3,2.086,1.894,1.935,1.902,1.896,1.908,1.896,1.897,1.922,1.894
itineraries.4,2.042,1.918,1.901,2.474,1.915,1.920,1.891,1.902,1.895,2.076
itineraries.5,0.725,0.705,0.727,0.690,0.696,0.688,0.695,0.706,0.698,0.757
itineraries.6,2.186,2.186,2.203,2.213,2.221,2.233,2.263,2.216,2.245,2.424
itineraries.7,2.245,2.392,2.232,2.273,2.224,2.421,2.219,2.224,2.197,2.196
itineraries.8,2.444,2.220,2.249,2.187,2.191,2.226,2.189,2.238,2.173,2.235
itineraries.9,2.262,2.293,2.225,2.229,2.229,2.236,2.208,2.233,2.240,2.246
