Input,1,2,3,4,5,6,7,8,9,10
itineraries.0,0.037,0.038,0.038,0.038,0.037,0.038,0.038,0.038,0.038,0.038
itineraries.1,0.038,0.038,0.038,0.039,0.038,0.038,0.038,0.038,0.038,0.038
itineraries.2,0.555,0.558,0.553,0.555,0.558,0.562,0.555,0.557,0.550,0.561
itineraries.3,1.738,1.745,1.733,1.746,1.733,1.742,1.740,1.736,1.747,1.741
itineraries.4,1.941,2.015,1.942,1.943,1.940,1.960,1.945,1.935,1.928,1.943
itineraries.5,1.085,1.092,1.081,1.088,1.092,1.085,1.122,1.087,1.099,1.086
itineraries.6,2.149,2.151,2.164,2.168,2.154,2.156,2.161,2.154,2.145,2.145
itineraries.7,2.158,2.153,2.146,2.158,2.179,2.163,2.146,2.182,2.165,2.160
itineraries.8,2.207,2.142,2.151,2.149,2.154,2.157,2.158,2.166,2.158,2.146
itineraries.9,2.246,2.131,2.136,2.135,2.131,2.144,2.138,2.138,2.161,2.144
