Input,1,2,3,4,5,6,7,8,9,10
itineraries.0,0.038,0.039,0.039,0.039,0.039,0.038,0.038,0.041,0.039,0.038
itineraries.1,0.039,0.039,0.039,0.038,0.039,0.039,0.039,0.039,0.039,0.039
itineraries.2,0.463,0.473,0.462,0.464,0.462,0.461,0.485,0.461,0.466,0.463
itineraries.3,1.595,1.590,1.594,1.604,1.591,1.599,1.604,1.604,1.607,1.600
itineraries.4,1.591,1.591,1.592,1.590,1.592,1.572,1.587,1.583,1.578,1.586
itineraries.5,0.626,0.622,0.623,0.626,0.628,0.626,0.627,0.626,0.623,0.627
itineraries.6,1.830,1.819,1.843,1.832,1.834,1.827,1.832,1.857,1.831,1.812
itineraries.7,1.824,1.887,1.961,1.843,1.835,1.828,1.837,1.841,1.832,1.835
itineraries.8,1.934,1.842,1.828,1.842,1.839,1.842,1.824,1.837,1.834,1.831
itineraries.9,1.818,1.828,1.866,1.831,1.837,1.833,1.827,1.844,1.833,1.844
